"DATE","TIME PERIOD","Current account balance (BPS.M.N.AT.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.BE.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.BG.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.DE.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.EE.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.FI.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.FR.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.GR.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.IT.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.LT.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.LU.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.LV.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.MT.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.PT.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.SI.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.SK.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance, calendar and seasonally adjusted (BPS.M.Y.I10.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)"
"1981-04-30","1981Apr","","","","57.000"
"1981-05-31","1981May","","","","-872.000"
"1981-06-30","1981Jun","","","","-1639.000"
"1981-07-31","1981Jul","","","","-1491.000"
"1981-08-31","1981Aug","","","","-2929.000"
"1981-09-30","1981Sep","","","","-67.000"
"1981-10-31","1981Oct","","","","1943.000"
"1981-11-30","1981Nov","","","","1038.000"
"1981-12-31","1981Dec","","","","2284.000"
"1982-01-31","1982Jan","","","","-794.000"
"1982-02-28","1982Feb","","","","446.000"
"1982-03-31","1982Mar","","","","1395.000"
"1982-04-30","1982Apr","","","","544.000"
"1982-05-31","1982May","","","","841.000"
"1982-06-30","1982Jun","","","","706.000"
"1982-07-31","1982Jul","","","","-688.000"
"1982-08-31","1982Aug","","","","-1528.000"
"1982-09-30","1982Sep","","","","777.000"
"1982-10-31","1982Oct","","","","1054.000"
"1982-11-30","1982Nov","","","","2480.000"
"1982-12-31","1982Dec","","","","2210.000"
"1983-01-31","1983Jan","","","","761.000"
"1983-02-28","1983Feb","","","","1100.000"
"1983-03-31","1983Mar","","","","1855.000"
"1983-04-30","1983Apr","","","","427.000"
"1983-05-31","1983May","","","","725.000"
"1983-06-30","1983Jun","","","","370.000"
"1983-07-31","1983Jul","","","","-1553.000"
"1983-08-31","1983Aug","","","","-1496.000"
"1983-09-30","1983Sep","","","","463.000"
"1983-10-31","1983Oct","","","","1624.000"
"1983-11-30","1983Nov","","","","777.000"
"1983-12-31","1983Dec","","","","954.000"
"1984-01-31","1984Jan","","","","219.000"
"1984-02-29","1984Feb","","","","1214.000"
"1984-03-31","1984Mar","","","","1880.000"
"1984-04-30","1984Apr","","","","-181.000"
"1984-05-31","1984May","","","","1537.000"
"1984-06-30","1984Jun","","","","-247.000"
"1984-07-31","1984Jul","","","","-1011.000"
"1984-08-31","1984Aug","","","","-739.000"
"1984-09-30","1984Sep","","","","1177.000"
"1984-10-31","1984Oct","","","","3367.000"
"1984-11-30","1984Nov","","","","3169.000"
